height,fee,numberTXs,nTime,date_str,nonce,nbits,nDifficulty,average_hash_calcualtions,blockhash,targetHash
1030,0,1,1232370113,Mon 19 Jan 2009 13:01:53 GMT,3366460677,486604799,1,4295032832,00000000f10051ec4605c41b0ce790793b794d490aadf9c9a5a2c09f717737b5,00000000ffff0000000000000000000000000000000000000000000000000000
1040,0,1,1232379081,Mon 19 Jan 2009 15:31:21 GMT,394673967,486604799,1,4295032832,000000005340964e637b61a6bea06b1dffbe04c5ec3f0694ba32412ed0dca6ca,00000000ffff0000000000000000000000000000000000000000000000000000
1050,0,1,1232387586,Mon 19 Jan 2009 17:53:06 GMT,3470596394,486604799,1,4295032832,000000005282b3bae8fe27fbae5e19473ff1ee6932e1997b139d933ae76fce6f,00000000ffff0000000000000000000000000000000000000000000000000000
1060,0,1,1232395715,Mon 19 Jan 2009 20:08:35 GMT,37734473,486604799,1,4295032832,00000000a396bda7ddfea736dc41dc1ff82ab99b391da8b8d8a24147bae0fe51,00000000ffff0000000000000000000000000000000000000000000000000000
1070,0,1,1232401220,Mon 19 Jan 2009 21:40:20 GMT,1809374496,486604799,1,4295032832,000000002eee7842ec8bd6950e8173bcc056509423a9154b504a5b37e0a1d657,00000000ffff0000000000000000000000000000000000000000000000000000
1080,0,1,1232409668,Tue 20 Jan 2009 00:01:08 GMT,2344298012,486604799,1,4295032832,000000006327405c513ba8016d62aa8963ba59f81272b2cd4d16b1a5f9b16ee7,00000000ffff0000000000000000000000000000000000000000000000000000
1090,0,1,1232416696,Tue 20 Jan 2009 01:58:16 GMT,3951275015,486604799,1,4295032832,00000000d2d3144f44de46844c58f4cca884aa579001b62de4168cb458a5ed35,00000000ffff0000000000000000000000000000000000000000000000000000
1100,0,1,1232424389,Tue 20 Jan 2009 04:06:29 GMT,3694510621,486604799,1,4295032832,000000009cd3f93cd2d843202155561eb773b2a7b7c97561ddef31e707f4eb4b,00000000ffff0000000000000000000000000000000000000000000000000000
1110,0,1,1232429699,Tue 20 Jan 2009 05:34:59 GMT,481055517,486604799,1,4295032832,0000000025ebddf45176d4cd83fe40389178af94c9f4a05e6e6799ccf7ac88ec,00000000ffff0000000000000000000000000000000000000000000000000000
1120,0,1,1232436132,Tue 20 Jan 2009 07:22:12 GMT,3465212424,486604799,1,4295032832,00000000696beb62d821a7c6dfa05a1b763b25d05f8cbc80afe22397d563921e,00000000ffff0000000000000000000000000000000000000000000000000000
1130,0,1,1232443888,Tue 20 Jan 2009 09:31:28 GMT,2736828192,486604799,1,4295032832,000000001785e36e4037082e8b803f5fe274eaa161f9c96c41da5af4b44e1fa0,00000000ffff0000000000000000000000000000000000000000000000000000
1140,0,1,1232452108,Tue 20 Jan 2009 11:48:28 GMT,3209641786,486604799,1,4295032832,000000000b6a9423f7bf2221f209b72870a5b15d9bafcc5158e9a04678ed5062,00000000ffff0000000000000000000000000000000000000000000000000000
1150,0,1,1232459495,Tue 20 Jan 2009 13:51:35 GMT,67421066,486604799,1,4295032832,00000000bc63b016e55ce7560e4647f7c8eee0b9edaa46477e6bd800149846b6,00000000ffff0000000000000000000000000000000000000000000000000000
1160,0,1,1232467835,Tue 20 Jan 2009 16:10:35 GMT,19007422,486604799,1,4295032832,000000003d95af8bf9bdb1763add503b090c7c99ca6765707dc0d178956bef87,00000000ffff0000000000000000000000000000000000000000000000000000
1170,0,1,1232476860,Tue 20 Jan 2009 18:41:00 GMT,712193055,486604799,1,4295032832,0000000037a74bef375488f46021f90d3690317a16f885a4e8f41e255d5dde09,00000000ffff0000000000000000000000000000000000000000000000000000
1180,0,1,1232484648,Tue 20 Jan 2009 20:50:48 GMT,3828663087,486604799,1,4295032832,00000000592ac01ba4e9d4daec3da2b6fac63f0faefa0222c715b660c18ddcaa,00000000ffff0000000000000000000000000000000000000000000000000000
